Season,Episode,Start time in milliseconds,End time in milliseconds,Character,Quote
1,2,149232,154570,Jang Gang,I have blocked his gate of energy. He will not be able to learn any spells while he is alive.
1,2,157740,161160,Jang Gang,I forbid anyone from opening his gate of energy!
1,2,207832,224719,Jang Uk,"And finally, I have met the master who will change my fate. I knew the moment I saw you. "
1,2,282532,287751,Jang Uk,I am planning to save you. You will not get caught if you stay by my side.
1,2,301718,307721,Jang Uk,How should you address me if you want to lie low? Young Master
1,2,554428,556928,Park Jin,Only those of Songrim can break the barrier.
1,2,788120,791460,Jang Uk,We could form a beautiful relationship where we benefit from each other.
1,2,833666,836586,Jang Uk,"How merciless. After all, I helped you."
1,2,836669,839629,Mu-deok / Naksu,Sorry that I am so merciless for such a cute face.
1,2,990280,992530,Jang Uk,I thought you were pretending to be clumsy.
1,2,1008048,1010548,Mu-deok / Naksu,Taking sides? Are you seriously that childish?
1,2,1010634,1012474,Jang Uk,Why are you talking casually in this situation?
1,2,1286326,1296839,Park Dang-Gu,"The alchemy of souls, a type of sorcery, has one weakness. There is a gap between the body and the soul. The evil energy seeps out from it. And Gwigu can detect that. "
1,2,1325574,1328584,Mu-deok / Naksu,"Uk, feign ignorance even if I get caught."
1,2,1344468,1350807,Jang Uk,Stay right by my side. No one here will let that thing attack me.
1,2,1632130,1635262,Jang Uk,I see. How evil. 
1,2,1662452,1668956,Jang Uk,"By the way, you have the habit of glaring at others. Keep doing that, and you will get caught."
1,2,1704702,1707162,Mu-deok / Naksu,Anyone who came that close to me died in my hands.
1,2,1821694,1824784,Jang Uk,But what kind of an heirloom is this fragile?
1,2,2014637,2020852,Mu-deok / Naksu,Then open his gate of energy for him. He desperately wants it. You are his friends. 
1,2,2035491,2038621,Mu-deok / Naksu,Then he is already being punished for his entire lifetime.
1,2,2133673,2142852,Mu-deok / Naksu,The people I have met so far only wanted me dead. You are the first person who tried to save me.
1,2,2149188,2153991,Mu-deok / Naksu,"Even if we meet again and come this close to each other, I will spare you."
1,2,3847802,3854641,Mu-deok / Naksu,I am betting everything on you. So I hope you will survive. 
1,2,3895349,3923289,Mu-deok / Naksu,"He ingested poison. His heart will stop in six hours. It will be too late by the time you find out and concoct an antidote. There is only one way to save him. Open his gate of energy. Or else, he will die. "
1,2,4142346,4164405,Jang Uk,Mu-deok. Both of us could have died. You are… You are really crazy. 
1,2,4167580,4172213,Mu-deok / Naksu,"So you survived, my pupil. "
1,2,4178507,4191769,Jang Uk,That is right. I almost died thanks to you. My crazy master.
